id;full_name;full_addres;phone;payment
1;Иванова Анастасия Михайловна;290997, Нижегородская область, город Солнечногорск, шоссе Космонавтов, 31;869.230.1734;94787
2;Воронцов Даниил Дмитриевич;956937, Архангельская область, город Солнечногорск, проезд Балканская, 47;1-514-450-5735;35262
3;Семенова Василиса Михайловна;173655, Тюменская область, город Павловский Посад, спуск Ладыгина, 75;317-709-3605 x17743;16
4;Орлов Артём Арсентьевич;318898, Тверская область, город Дорохово, бульвар Бухарестская, 98;1-944-730-2536;33104
5;Белова Анна Артёмовна;505697, Магаданская область, город Видное, пл. Космонавтов, 47;(498) 820-5550 x8957;60424
6;Жуков Игорь Станиславович;221209, Калужская область, город Щёлково, ул. Бухарестская, 78;1-586-616-7118 x735;90378
7;Ерофеев Ярослав Михайлович;554910, Ульяновская область, город Балашиха, проезд Ломоносова, 73;951-615-3975 x357;23277
8;Петрова Дарья Андреевна;848859, Липецкая область, город Раменское, ул. Балканская, 84;769.391.2872;61438
9;Березина Кристина Алексеевна;257779, Челябинская область, город Талдом, проезд Чехова, 96;(576) 608-4575 x01587;55644
10;Мельников Иван Дмитриевич;300670, Амурская область, город Дмитров, наб. Сталина, 13;757.321.9685 x16357;88788
