id;full_name;full_addres;phone;e_mail;record_book;gpa
1;Козлов Денис Семёнович;804721, Тюменская область, город Москва, бульвар Косиора, 46;1-821-519-5272 x48096;cross-platform Avon connect;1588;0
2;Лукьянова Ева Игоревна;295248, Орловская область, город Луховицы, пер. Чехова, 67;1-275-858-2323;algorithm circuit;26587;0
3;Майоров Максим Максимович;609332, Смоленская область, город Солнечногорск, пл. Ладыгина, 21;216.831.7767 x304;synthesizing;27636;0
4;Свиридов Арсений Матвеевич;352321, Ленинградская область, город Видное, наб. Косиора, 32;1-970-999-1612 x6484;system Kentucky;93862;0
5;Козлов Игорь Ильич;091940, Новосибирская область, город Воскресенск, пр. Ломоносова, 35;454.599.4176 x24836;Account;2903;0
6;Русаков Андрей Евгеньевич;888179, Орловская область, город Талдом, ул. Космонавтов, 04;(958) 259-2846 x4221;integrated;16562;0
7;Петрова Вероника Денисовна;454239, Самарская область, город Лотошино, спуск Славы, 36;702-876-0500 x648;transmitter Direct;89284;0
8;Емельянова Антонина Дамировна;117989, Орловская область, город Орехово-Зуево, въезд Косиора, 93;633-269-5606 x50693;deposit Proactive;20114;0
9;Евдокимова Екатерина Степановна;264048, Калининградская область, город Луховицы, бульвар Бухарестская, 62;381.436.2922 x391;Concrete Coordinator payment;16752;0
10;Колесников Андрей Николаевич;120611, Ленинградская область, город Лотошино, шоссе Домодедовская, 26;399-725-2140 x0906;markets program Automotive;24645;0
